Bedroom,Neighborhood_encoded,Has_Air_condition,Has_Backyard,Has_Balcony,Has_Cafeteria,Has_Cctv,Has_Deck,Has_Drainage,Has_Electricity_backup,Has_Fencing,Has_Frontyard,Has_Garage,Has_Garden,Has_Gym,Has_Intercom,Has_Internet,Has_Jacuzzi,Has_Kids_playground,Has_Lawn,Has_Lift,Has_Maintenance,Has_Microwave,Has_Modular_kitchen,Has_Parking,Has_Security_staff,Has_Solar_water,Has_Store_room,Has_Swimming_pool,Has_Tv_cable,Has_Washing_machine,Has_Water_supply,Has_Water_tank,Has_Water_well,Has_Wifi,Area_Aana,City_encoded,Face_encoded,Road Type_encoded,Area_Aana_log,Floors_log,Bathroom_log
6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,9,7,1,1.791759469228055,1.3862943611198906,1.9459101490553132
1,291,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,7.304601899196494,1,7,1,2.116809806840658,1.5040773967762742,1.0986122886681098
6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1,9,2,1,1.410986973710262,1.3862943611198906,1.9459101490553132
6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0,9,5,5,2.4849066497880004,1.3862943611198906,1.9459101490553132
6,31,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,30.0,9,0,6,3.4339872044851463,1.3862943611198906,1.791759469228055
9,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,0,4,2.302585092994046,1.6094379124341003,1.9459101490553132
6,330,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,3.5,9,0,1,1.5040773967762742,1.3862943611198906,1.791759469228055
6,217,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,12.0,9,0,3,2.5649493574615367,1.3862943611198906,1.9459101490553132
5,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,9,1,1,1.791759469228055,1.3862943611198906,1.9459101490553132
5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,7,1,1.6094379124341003,1.0986122886681098,1.791759469228055
6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,5,1,1.6094379124341003,1.3862943611198906,1.9459101490553132
10,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0,9,5,1,1.6094379124341003,1.6094379124341003,1.791759469228055
6,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,9,0,3,1.7047480922384253,1.3862943611198906,1.9459101490553132
5,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1,9,0,5,1.410986973710262,1.3862943611198906,1.791759469228055
5,64,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,8.0,9,5,1,2.1972245773362196,1.3862943611198906,1.791759469228055
4,145,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,6.75,9,6,2,2.0476928433652555,1.252762968495368,1.3862943611198906
5,235,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,4.0,9,0,6,1.6094379124341003,1.3862943611198906,1.3862943611198906
3,28,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,4.5,1,1,1,1.7047480922384253,1.0986122886681098,1.3862943611198906
3,247,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,9,0,1,1.3862943611198906,1.3862943611198906,1.6094379124341003
1,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3125,9,7,6,1.8425317946014783,0.6931471805599453,0.6931471805599453
5,64,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,5.0,9,5,6,1.791759469228055,1.3862943611198906,1.791759469228055
4,64,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,64.0,9,4,6,4.174387269895637,0.6931471805599453,1.3862943611198906
4,31,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,9.9375,9,7,3,2.392197251683733,0.6931471805599453,1.791759469228055
3,237,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,4.5,12,0,3,1.7047480922384253,1.0986122886681098,1.6094379124341003
4,45,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,7.0,1,4,4,2.0794415416798357,1.0986122886681098,1.6094379124341003
1,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,9,7,6,3.4657359027997265,0.6931471805599453,0.6931471805599453
4,301,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.0,3,0,3,1.9459101490553132,1.0986122886681098,1.0986122886681098
7,216,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,4.3125,9,7,3,1.6700625342505353,1.252762968495368,1.3862943611198906
7,327,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,3.0,1,7,3,1.3862943611198906,1.5040773967762742,1.6094379124341003
